,type,geometry,properties
20,Feature,"{'type': 'Point', 'coordinates': [-118.14861222799, 34.725884935348]}","{'id': '6435a0e01f5a744ce715cf9c', 'dataSource': 'NIFC', 'loc': {'long': -118.14861222799, 'lat': 34.725884935348}, 'report': {'id': '2023-CALAC-121152', 'type': 'L', 'timestamp': 1681235209, 'dateTimeISO': '2023-04-11T10:46:49-07:00', 'name': 'Lac-121152', 'location': 'LAC-121152', 'startTimestamp': 1681235030, 'startDateISO': '2023-04-11T10:43:50-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'lancaster', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
21,Feature,"{'type': 'Point', 'coordinates': [-117.16103499194, 33.917463901583]}","{'id': '6435a0e01f5a744ce715cf99', 'dataSource': 'NIFC', 'loc': {'long': -117.16103499194, 'lat': 33.917463901583}, 'report': {'id': '2023-CARRU-052818', 'type': 'L', 'timestamp': 1681234406, 'dateTimeISO': '2023-04-11T10:33:26-07:00', 'name': 'Wilmot St / Alessandro Bl', 'location': 'WILMOT ST / ALESSANDRO BL', 'startTimestamp': 1681233364, 'startDateISO': '2023-04-11T10:16:04-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'moreno valley', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
22,Feature,"{'type': 'Point', 'coordinates': [-116.50174187763, 33.924973939135]}","{'id': '643553931f5a744ce7f13182', 'dataSource': 'NIFC', 'loc': {'long': -116.50174187763, 'lat': 33.924973939135}, 'report': {'id': '2023-CARRU-052703', 'type': 'L', 'timestamp': 1681214863, 'dateTimeISO': '2023-04-11T05:07:43-07:00', 'name': 'Dillon Rd / Palm Dr', 'location': 'DILLON RD / PALM DR', 'startTimestamp': 1681212661, 'startDateISO': '2023-04-11T04:31:01-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'desert hot springs', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
23,Feature,"{'type': 'Point', 'coordinates': [-118.1739521687, 33.968764850691]}","{'id': '64353e6b1f5a744ce7f13178', 'dataSource': 'NIFC', 'loc': {'long': -118.1739521687, 'lat': 33.968764850691}, 'report': {'id': '2023-CALAC-120859', 'type': 'L', 'timestamp': 1681209649, 'dateTimeISO': '2023-04-11T03:40:49-07:00', 'name': 'Lac-120859', 'location': 'LAC-120859', 'startTimestamp': 1681209298, 'startDateISO': '2023-04-11T03:34:58-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'bell', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
24,Feature,"{'type': 'Point', 'coordinates': [-118.16891216317, 33.910844844539]}","{'id': '64351b511f5a744ce7f13176', 'dataSource': 'NIFC', 'loc': {'long': -118.16891216317, 'lat': 33.910844844539}, 'report': {'id': '2023-CALAC-120801', 'type': 'L', 'timestamp': 1681202688, 'dateTimeISO': '2023-04-11T01:44:48-07:00', 'name': 'Lac-120801', 'location': 'LAC-120801', 'startTimestamp': 1681201613, 'startDateISO': '2023-04-11T01:26:53-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'paramount', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
25,Feature,"{'type': 'Point', 'coordinates': [-117.7479121011, 34.023474880781]}","{'id': '643506301f5a744ce7f13173', 'dataSource': 'NIFC', 'loc': {'long': -117.7479121011, 'lat': 34.023474880781}, 'report': {'id': '2023-CALAC-120743', 'type': 'L', 'timestamp': 1681195488, 'dateTimeISO': '2023-04-10T23:44:48-07:00', 'name': 'Lac-120743', 'location': 'LAC-120743', 'startTimestamp': 1681195379, 'startDateISO': '2023-04-10T23:42:59-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'pomona', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
26,Feature,"{'type': 'Point', 'coordinates': [-118.19241217688, 34.031334856588]}","{'id': '6434ff2b1f5a744ce7f1316d', 'dataSource': 'NIFC', 'loc': {'long': -118.19241217688, 'lat': 34.031334856588}, 'report': {'id': '2023-CALAC-120731', 'type': 'L', 'timestamp': 1681194169, 'dateTimeISO': '2023-04-10T23:22:49-07:00', 'name': 'Lac-120731', 'location': 'LAC-120731', 'startTimestamp': 1681193981, 'startDateISO': '2023-04-10T23:19:41-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'los angeles', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
27,Feature,"{'type': 'Point', 'coordinates': [-117.22162300416, 33.939364900724]}","{'id': '6434ff2b1f5a744ce7f1316c', 'dataSource': 'NIFC', 'loc': {'long': -117.22162300416, 'lat': 33.939364900724}, 'report': {'id': '2023-CARRU-052646', 'type': 'L', 'timestamp': 1681194145, 'dateTimeISO': '2023-04-10T23:22:25-07:00', 'name': 'Perris Bl Ofrp  / Hy 60  W', 'location': 'PERRIS BL OFRP  / HY 60  W', 'startTimestamp': 1681193171, 'startDateISO': '2023-04-10T23:06:11-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'moreno valley', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
28,Feature,"{'type': 'Point', 'coordinates': [-117.3321590289, 34.009988902629]}","{'id': '6434ff2b1f5a744ce7f1316a', 'dataSource': 'NIFC', 'loc': {'long': -117.3321590289, 'lat': 34.009988902629}, 'report': {'id': '2023-CARRU-052611', 'type': 'L', 'timestamp': 1681193370, 'dateTimeISO': '2023-04-10T23:09:30-07:00', 'name': 'Prospect Av  High', 'location': 'PROSPECT AV  HIGH', 'startTimestamp': 1681187883, 'startDateISO': '2023-04-10T21:38:03-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'highgrove', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
29,Feature,"{'type': 'Point', 'coordinates': [-116.2762768205, 33.704971925455]}","{'id': '6434f8991f5a744ce7f13168', 'dataSource': 'NIFC', 'loc': {'long': -116.2762768205, 'lat': 33.704971925455}, 'report': {'id': '2023-CARRU-052640', 'type': 'L', 'timestamp': 1681192456, 'dateTimeISO': '2023-04-10T22:54:16-07:00', 'name': 'Coral Mountain Apt Laq', 'location': 'CORAL MOUNTAIN APT LAQ', 'startTimestamp': 1681191899, 'startDateISO': '2023-04-10T22:44:59-07:00', 'conf': 100, 'areaKM': None, 'areaMI': None, 'areaAC': None, 'perContained': None, 'sat': None, 'expContainedTimestamp': None, 'expContainedISO': None, 'cause': 'Undetermined', 'imtType': None, 'fuels': None, 'terrain': None}, 'place': {'name': 'la quinta', 'state': 'ca', 'country': 'us'}, 'profile': {'tz': 'America/Los_Angeles'}, 'perimeter': None}"
