objectid,fire_name,fire_type,landowner,fuel_model
294035,CROSSROADS,WF,BIA,000
294036,WAPELLO BOTTOMS,WF,State,000
294037,HORSESHOE,WF,Tribal,000
294038,FOG,WF,Tribal,000
294040,CHAPEL,WF,Private,000
294043,LAC-013825,WF,Private,000
294046,LONGVUE RD  SKYV,WF,Private,000
294048,Juniper Jam,WF,USFS,000
294050,Tenmile South Helena Unit 87A,RX,USFS,000
294053,LA HUERTA RD / FALCON VIEW LN,WF,Private,000
294054,Marsh Pens,WF,BIA,000
294055,GOSS RD / CAUGHLIN RD,RX,Private,000
294058,LOW GAP,WF,Private,000
294061,CORNER POST,WF,Private,000
294064,LAC-014127,WF,Private,000
294065,Suce Creek,WF,BLM,000
294066,BEACHWOOD AV  INDO,WF,Private,000
294067,Grub Hill,WF,Private,Tall Grass (2.5 feet)
294069,Cow River,WF,BOR,000
294071,FLAGLER DR,WF,Private,Timber (Grass and Understory)
294074,LAC-014400,WF,Private,000
294075,LAC-014418,WF,Private,000
294076,LAC-014379,WF,Private,000
294080,CEDAR AV / MOUNTAIN AV,WF,Private,000
294085,LAC-014719,WF,Private,000
294087,HIGHWAY,WF,Private,000
294088,HARRY OLIVER TRL / VARNER RD,WF,Private,000
294090,STARLIGHT,WF,Private,000
294092,W HARLAN AVE /S SONOMA AVE,WF,Private,000
294097,Bigelow PU8 Piles RX,RX,USFS,000
294098,LAC-014934,WF,Private,000
294099,Site Prep 7 and 8,RX,USFS,000
294100,C-108 104,RX,State,000
294101,Caney Site Prep ,RX,USFS,000
294102,HORIZON,WF,Private,000
294103,WOLF,WF,Private,000
294104,GOLDEN PONY 1,RX,BIA,000
294106,LAC-015070,WF,Private,000
294108,Firing point 99,WF,USFS,000
294110,LAC-015181,WF,Private,000
294111,DILLAHUNTY,WF,BLM,000
294113,Jasper 0225,WF,Private,Timber (Litter and Understory)
294114,Polk 0224,WF,Private,Timber (Grass and Understory)
294117,PAW,WF,Private,000
294118,LANE,WF,Private,000
294120,CR 225,WF,Private,Short Grass (1 foot)
294121,COX ST  GOOD,WF,Private,000
294122,ST CHARLES,WF,USFS,000
294125,Liberty 0229,WF,Private,Timber (Grass and Understory)
294126,Polk 0232,WF,Private,Timber (Litter and Understory)
294127,SNF Indian Mounds C 102 RX,RX,USFS,000
